TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
29503,3424,4404,3908,2719,1351,25504,29503,9065,5393,15194,14637,29024,7499,23260,11774,8188,2668,3375,835,2232
6488,653,880,960,622,493,6162,6488,1720,1640,3465,3349,6546,2059,5036,2438,1949,419,595,179,461
19386,2199,2472,2550,1563,883,7690,19386,4552,3703,7826,7356,19990,4730,15014,8621,6816,1524,2681,630,1413
547538,59901,77258,82144,59955,33637,459380,547538,125238,133282,253439,243967,518660,160876,450702,214418,157746,45373,63668,16623,43089
22596,2530,2888,2375,1553,899,11626,22596,5396,4694,9703,9240,22353,4703,16729,9101,7009,1589,2460,623,1394
161355,16086,20507,20195,11720,6472,142050,161355,23457,24151,91522,88754,161197,34945,137666,44103,32902,7733,10817,3435,8030
27591,3028,3862,4116,2724,1280,25063,27591,5121,6274,10939,10289,28203,7333,22522,11029,7477,1594,3766,985,1953
6628,705,872,801,531,432,6429,6628,1942,1270,3584,3497,6688,1683,4988,2376,1671,521,634,173,464
4664,403,637,763,485,452,4505,4664,1131,1333,2401,2335,4705,1745,3696,1769,1349,318,484,134,347
20298,2359,2725,2403,1547,850,11844,20298,5097,3370,7506,7103,20458,4447,15333,8764,6333,1553,2475,576,1390
52014,5089,4532,3461,2088,1090,40510,52014,8010,10989,14629,14103,53132,6246,40643,16081,13615,2469,3229,864,1936
44161,4721,5346,5336,3735,2294,35463,44161,9697,10344,18989,18103,45173,11238,33070,16674,12732,3307,4454,1194,3295
12691,1196,1540,1670,880,636,3205,12691,2969,1936,4768,4487,13084,3005,10284,5496,4155,1020,1946,456,954
